"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TMEM30A",58.8268060394384,-0.425936039701606,0.0669244686928486,-6.36442915455108,1.9601736956042e-10,2.09769535540633e-08
"KCTD4",3.00793879490589,-1.44938587373457,0.227771619571891,-6.36332953358619,1.9742648458394e-10,2.10171346128023e-08
"SOS2",12.8092610612108,-0.403107262596144,0.0634107515283569,-6.35708066661025,2.05624026790705e-10,2.17757986288302e-08
"ADRM1",61.0064327809875,0.345010956142932,0.054309885153771,6.35263645220535,2.11655530537368e-10,2.22984036394627e-08
"FSTL5",2.72074636729091,-1.73757065681296,0.273843765426729,-6.34511672780029,2.22256862050742e-10,2.32945813199884e-08
"PDIA4",50.7832513520975,0.668628256579021,0.105527317902324,6.33606794780765,2.3570287427084e-10,2.45771617566615e-08
"LDHA",197.780917117162,0.961461929936745,0.151777240536916,6.33469106788047,2.37817294895595e-10,2.46711176383272e-08
"FLRT1",5.92976664805351,-0.984558710158853,0.155560149243793,-6.32911908959317,2.46564762583774e-10,2.53618599763231e-08
"H2AFY",98.6224896155179,0.32922232574295,0.0520191697600859,6.32886544059304,2.46970357316283e-10,2.53618599763231e-08
"IDI1",38.3360293788946,-0.683787901941705,0.10805873475409,-6.32792808001875,2.48474895329321e-10,2.53881409383472e-08
"CDC37",101.556653950188,0.346773226747115,0.0548134584604037,6.32642486876865,2.50906376832025e-10,2.55083968006278e-08
"GALNT13",20.3292471080646,-1.2224998787094,0.193280035520746,-6.32501890542224,2.53201580823883e-10,2.56136703626468e-08
"LRP1B",8.24079671032449,-0.755948942148291,0.119557321740953,-6.32289960280491,2.56700095632727e-10,2.58390249727734e-08
"MAP2K3",10.7280149938908,0.70661747579164,0.111805958982944,6.32003412178984,2.61505553837281e-10,2.60646687557521e-08
"TRIM23",10.2087754142675,-0.506433872412461,0.0801230547961327,-6.32070099799671,2.60379407692113e-10,2.60646687557521e-08
"PSMC3",92.6631858333773,0.415661240883447,0.0658001821372936,6.3170226492103,2.66650515415935e-10,2.64478289265961e-08
"ZMIZ1",37.330549092083,-0.55688623707284,0.0882038062734069,-6.31363044976369,2.72564364656728e-10,2.6903161294006e-08
"GABRA3",7.05915700801641,-1.33726342338445,0.211972636150557,-6.3086606255849,2.81460526318966e-10,2.73824731179117e-08
"LRRC4C",10.444995692206,-0.699764698303449,0.110896537170936,-6.3100680702485,2.78912767151653e-10,2.73824731179117e-08
"PRKCA",21.8680165226052,-0.555629830124767,0.0880688188247434,-6.30904146938167,2.80768887931228e-10,2.73824731179117e-08
"RTN1",142.494531035325,-1.18265003076776,0.187615861580038,-6.30357167463282,2.90863608960432e-10,2.81625226713927e-08
"HIST1H4J",9.27519357589173,1.06339590172356,0.168769023672374,6.30089502554625,2.9593177545596e-10,2.85174445040097e-08
"CXCR4",30.2416123956814,1.02243797866855,0.162360380775461,6.29733666418627,3.02803154523055e-10,2.90419648156475e-08
"CBR4",11.1641639436548,-0.505033518127244,0.0802094356228524,-6.29643525360195,3.04568409206419e-10,2.90741289408174e-08
"PHYHIPL",93.2303994282588,-0.963454538572889,0.153317977738714,-6.28402847978348,3.29910228228991e-10,3.13460965914956e-08
"MRPS12",17.3431370621891,0.486276580476059,0.0774261161602956,6.28052399618391,3.37433792370767e-10,3.19118200012782e-08
"CRY2",18.1719922670924,-0.599378396472543,0.0955086193374692,-6.2756471680813,3.48182959691022e-10,3.27070964554853e-08
"PRPF31",32.4847464144078,0.419019243665521,0.0667732540803436,6.2752557058451,3.49060145125673e-10,3.27070964554853e-08
"LINC00634",12.9909598716693,-0.916170731473665,0.1465266771237,-6.25258655596361,4.03709863105527e-10,3.76542781950674e-08
"POP4",36.9559596409091,0.378006106078078,0.0605169179780655,6.24628812417525,4.20321517691102e-10,3.90246457498319e-08
"AQP9",2.12821521559699,2.61166886521017,0.418308447193743,6.24340455644816,4.28147608001523e-10,3.95344430155595e-08
"FAM13C",15.4182369988437,-0.779614853157329,0.124881474728576,-6.24283829808855,4.29701072465384e-10,3.95344430155595e-08
"ASCC1",24.170332040818,-0.439719800428106,0.0704519622309675,-6.24141310623177,4.33635311571453e-10,3.97166972530736e-08
